Date,Begin Time,Type,Round,Team #,Room
25.01.2025,09:40,Practice,0,5,A
25.01.2025,09:40,Practice,0,6,B
25.01.2025,09:45,Practice,0,7,C
25.01.2025,09:45,Practice,0,8,D
25.01.2025,09:55,Practice,0,9,A
25.01.2025,09:55,Practice,0,10,B
25.01.2025,10:00,Practice,0,11,C
25.01.2025,10:00,Practice,0,12,D
25.01.2025,10:10,Practice,0,13,A
25.01.2025,10:10,Practice,0,14,B
25.01.2025,10:15,Practice,0,15,C
25.01.2025,10:15,Practice,0,16,D
25.01.2025,10:25,Practice,0,17,A
25.01.2025,10:25,Practice,0,18,B
25.01.2025,10:30,Practice,0,19,C
25.01.2025,10:30,Practice,0,20,D
25.01.2025,10:40,Practice,0,21,A
25.01.2025,10:40,Practice,0,22,B
25.01.2025,10:45,Practice,0,23,C
25.01.2025,10:45,Practice,0,24,D
25.01.2025,10:55,Practice,0,1,A
25.01.2025,10:55,Practice,0,2,B
25.01.2025,11:00,Practice,0,3,C
25.01.2025,11:00,Practice,0,4,D
25.01.2025,11:30,Table,1,13,A
25.01.2025,11:30,Table,1,14,B
25.01.2025,11:35,Table,1,15,C
25.01.2025,11:35,Table,1,16,D
25.01.2025,11:40,Table,1,17,A
25.01.2025,11:40,Table,1,18,B
25.01.2025,11:45,Table,1,19,C
25.01.2025,11:45,Table,1,20,D
25.01.2025,11:50,Table,1,21,A
25.01.2025,11:50,Table,1,22,B
25.01.2025,11:55,Table,1,23,C
25.01.2025,11:55,Table,1,24,D
25.01.2025,12:00,Table,1,1,A
25.01.2025,12:00,Table,1,2,B
25.01.2025,12:05,Table,1,3,C
25.01.2025,12:05,Table,1,4,D
25.01.2025,12:10,Table,1,5,A
25.01.2025,12:10,Table,1,6,B
25.01.2025,12:15,Table,1,7,C
25.01.2025,12:15,Table,1,8,D
25.01.2025,12:20,Table,1,9,A
25.01.2025,12:20,Table,1,10,B
25.01.2025,12:25,Table,1,11,C
25.01.2025,12:25,Table,1,12,D
25.01.2025,13:10,Table,2,19,A
25.01.2025,13:10,Table,2,17,B
25.01.2025,13:15,Table,2,20,C
25.01.2025,13:15,Table,2,18,D
25.01.2025,13:20,Table,2,23,A
25.01.2025,13:20,Table,2,18,B
25.01.2025,13:25,Table,2,24,C
25.01.2025,13:25,Table,2,22,D
25.01.2025,13:30,Table,2,3,A
25.01.2025,13:30,Table,2,1,B
25.01.2025,13:35,Table,2,4,C
25.01.2025,13:35,Table,2,2,D
25.01.2025,13:40,Table,2,7,A
25.01.2025,13:40,Table,2,5,B
25.01.2025,13:45,Table,2,8,C
25.01.2025,13:45,Table,2,6,D
25.01.2025,13:50,Table,2,11,A
25.01.2025,13:50,Table,2,9,B
25.01.2025,13:55,Table,2,12,C
25.01.2025,13:55,Table,2,10,D
25.01.2025,14:00,Table,2,15,A
25.01.2025,14:00,Table,2,13,B
25.01.2025,14:05,Table,2,16,C
25.01.2025,14:05,Table,2,14,D
